"id","currency_code","currency_name","currency_symbol","exchange_rate","is_default","is_active","last_updated","created_at","updated_at"
"1","GBP","British Pound","£","23.5000","0","1","2025-07-16 11:59:27","2025-07-17 11:44:57","2025-07-17 11:44:57"
"2","ZAR","South African Rand","R","1.0000","1","1","2025-07-16 11:59:27","2025-07-17 11:44:57","2025-07-17 11:44:57"
"3","USD","US Dollar","$","18.5000","0","1","2025-07-16 11:59:27","2025-07-17 11:44:57","2025-07-17 11:44:57"
"4","EUR","Euro","€","20.5000","0","1","2025-07-16 11:59:27","2025-07-17 11:44:57","2025-07-17 11:44:57"
